"","A1","Z1","Y2","L1","A0","Z0","L0"
"413",0,0,0,-1.52409977806294,1,1,0
"414",1,1,63719,1.11946789335359,1,1,1
"415",0,0,23725,-1.52409977806294,1,1,0
"416",1,1,828,0.916614238953721,0,1,0
"417",1,1,26906,0.688439919648254,0,1,0
"418",0,0,24,-1.52409977806294,0,0,0
"419",1,1,5918,-1.52409977806294,1,1,1
"420",0,1,36669,1.00133785291652,1,0,0
"421",1,1,4069,0.538805966010795,0,1,1
"422",1,1,555,-1.52409977806294,1,1,1
"423",1,1,31273,0.648797858205049,0,1,1
"424",1,1,30439,0.377657150777158,1,1,0
"425",1,1,13755,0.674655379794383,1,1,0
"426",0,0,21310,0.648797858205049,1,0,0
"427",1,1,26440,1.04667001220076,0,0,1
"428",1,1,5865,-1.52409977806294,1,1,0
"429",0,1,13825,-1.52409977806294,0,1,0
"430",1,1,26013,0.836862310742941,1,1,0
"431",0,0,702,0.549444658592949,0,1,1
"432",1,1,7086,0.831703354367343,1,1,0
"433",0,0,4281,0.460778602579723,0,1,0
"434",0,0,43006,0.421971010103767,1,1,1
"435",1,1,34587,0.648797858205049,0,0,1
"436",1,1,0,0.940786231771823,1,1,0
"437",0,1,10191,0.740085500669882,0,0,1
"438",0,0,11948,0.928775951448697,1,0,1
"439",0,0,4389,0.358845800409728,1,1,1
"440",1,1,0,0.102570790588686,0,1,0
"441",1,1,0,-1.52409977806294,0,0,0
"442",0,1,21609,0.322268754740774,1,1,0
"443",1,1,2625,-0.271625799614365,0,1,0
"444",0,1,3723,0.188809685186082,0,1,1
"445",1,1,15223,0.673749527397859,1,1,0
"446",0,1,2343,0.674737580276916,1,0,1
"447",1,1,14466,1.02404331848468,0,1,1
"448",1,1,663,1.11946789335359,0,1,1
"449",1,1,49363,0.862806155196176,0,1,1
"450",1,1,62132,0.726847817268774,0,1,1
"451",1,1,25791,0.648797858205049,1,1,1
"452",1,1,13484,0.502586937833349,0,1,0
"453",0,1,29339,0.134460119762742,0,1,0
"454",1,1,225,-1.52409977806294,1,1,1
"455",1,1,10942,-1.52409977806294,0,1,1
"456",0,1,10728,0.741824121412236,0,1,0
"457",1,1,5953,1.00133785291652,0,0,0
"458",0,0,0,0.467916026213718,1,1,0
"459",1,1,24971,0.946884340069479,0,0,0
"460",1,1,1479,0.787392039429005,0,1,0
"461",0,0,45465,0.648797858205049,0,0,1
"462",1,1,36091,1.08600871501777,1,1,0
"463",0,0,798,0.914923572565032,1,1,1
"464",0,0,40727,1.08550263582028,1,1,0
"465",0,0,1379,-1.52409977806294,1,1,0
"466",1,1,0,-1.52409977806294,0,1,0
"467",1,1,2934,-1.52409977806294,0,1,0
"468",0,0,13,-0.288246394175211,0,1,1
"469",0,1,651,-1.52409977806294,0,0,1
"470",0,1,0,-1.52409977806294,0,0,0
"471",1,1,20196,0.102570790588686,1,1,0
"472",1,1,352,0.846633399863378,0,0,1
"473",1,1,11261,0.576717554763112,0,0,0
"474",0,0,5337,-1.52409977806294,0,1,1
"475",1,1,12747,0.254151860684496,0,0,1
"476",0,0,48024,0.719978685914774,0,1,1
"477",0,0,0,-1.52409977806294,1,0,0
"478",1,1,9931,-0.610266566252685,1,1,0
"479",0,1,0,1.27360326215782,1,1,1
"480",1,1,15649,-1.52409977806294,0,1,1
"481",0,1,636,1.31543613533244,1,1,1
"482",1,1,29302,0.442067893844077,1,1,1
"483",1,1,52197,0.980848178834212,1,1,1
"484",0,0,1541,0.808274083446812,0,1,1
"485",1,1,19773,-0.162485836395737,1,1,1
"486",0,0,0,-1.52409977806294,0,0,0
"487",0,0,489,0.758804816873193,1,0,1
"488",1,1,10251,-1.52409977806294,0,1,0
"489",1,1,18,0.538805966010795,0,0,0
"490",0,0,0,0.281386730044695,1,0,0
"491",1,1,0,-1.52409977806294,1,0,1
"492",1,1,9351,0.394095309883305,1,0,1
"493",0,0,2691,0.102570790588686,1,1,1
"494",0,0,17537,-1.52409977806294,0,1,1
